(24710,24720,10,30,10,30,0.000000,0.000000,0.000000,40)
(49234,53614,5,10,5,10,0.000000,0.000000,0.000000,15)
(31029,32587,10,5,10,5,0.000000,0.000000,0.000000,15)
(19538,38537,10,5,10,5,0.000000,0.000000,0.000000,15)
(14227,48517,5,10,5,10,0.000000,0.000000,0.000000,15)
(37677,37763,5,10,5,10,0.000000,0.000000,0.000000,15)
(16206,47046,6,10,6,10,0.000000,0.000000,0.000000,16)
(585,32027,10,5,10,5,0.000000,0.000000,0.000000,15)
(40950,46190,6,10,6,10,0.000000,0.000000,0.000000,16)
(40472,46885,10,5,10,5,0.000000,0.000000,0.000000,15)
(19540,38534,5,10,5,10,0.000000,0.000000,0.000000,15)
(28693,58253,6,11,6,11,0.000000,0.000000,0.000000,17)
(31610,53576,5,10,5,10,0.000000,0.000000,0.000000,15)
(7425,30391,5,10,5,10,0.000000,0.000000,0.000000,15)
(36008,45238,10,5,10,5,0.000000,0.000000,0.000000,15)
