(44822,48847,13,7,13,7,0.100000,20)
(57486,57498,12,34,12,34,0.043478,46)
(36008,45238,10,5,10,5,0.000000,15)
(45918,45930,12,24,12,24,0.055556,36)
(19538,38537,10,5,10,5,0.000000,15)
(54099,54836,30,6,30,6,0.055556,36)
(52607,52620,13,32,13,32,0.044444,45)
(40472,46885,10,5,10,5,0.000000,15)
(585,32027,10,5,10,5,0.000000,15)
(53455,53466,11,34,11,34,0.044444,45)
(19677,19688,11,28,11,28,0.051282,39)
(36982,39942,13,7,13,7,0.100000,20)
(31029,32587,10,5,10,5,0.000000,15)
(44528,47951,12,9,12,9,0.095238,21)
(24708,24720,12,28,12,28,0.050000,40)
(42478,50141,15,6,15,6,0.095238,21)
(47704,47715,11,33,11,33,0.045455,44)
