(14229,18410,8,6,8,6,0.071429,14)
(25300,36023,8,6,8,6,0.071429,14)
(13775,16669,8,5,8,5,0.000000,13)
(19652,54328,9,7,9,7,0.062500,16)
(4272,30303,9,6,9,6,0.000000,15)
(1549,42711,15,6,15,6,0.095238,21)
(21639,56254,8,7,8,7,0.066667,15)
(41567,55621,8,5,8,5,0.000000,13)
(21327,35459,8,7,8,7,0.066667,15)
(24911,56391,9,6,9,6,0.066667,15)
(3518,39300,8,6,8,6,0.071429,14)
(42382,48092,8,6,8,6,0.071429,14)
(27400,42136,8,5,8,5,0.000000,13)
(35852,55916,12,8,12,8,0.100000,20)
(14914,27746,8,6,8,6,0.000000,14)
(526,28790,9,5,9,5,0.000000,14)
(14249,54679,9,6,9,6,0.066667,15)
(35088,45853,8,6,8,6,0.071429,14)
(852,31452,9,6,9,6,0.066667,15)
(33611,51869,8,6,8,6,0.000000,14)
(33611,53824,8,6,8,6,0.071429,14)
(34515,54106,11,9,11,9,0.050000,20)
(3836,54198,8,5,8,5,0.000000,13)
(18951,23472,8,10,8,10,0.055556,18)
(14302,55753,8,6,8,6,0.000000,14)
(29344,41479,9,5,9,5,0.000000,14)
(1999,23603,11,7,11,7,0.055556,18)
(11275,53428,8,6,8,6,0.000000,14)
(9252,29129,8,5,8,5,0.000000,13)
(49237,51348,8,6,8,6,0.071429,14)
(14618,38701,8,6,8,6,0.071429,14)
(15706,36206,9,5,9,5,0.000000,14)
(1074,40606,8,6,8,6,0.071429,14)
(41516,43384,9,6,9,6,0.066667,15)
(26419,54352,10,5,10,5,0.000000,15)
(5279,54970,11,6,11,6,0.058824,17)
(2569,25851,8,6,8,6,0.071429,14)
(19222,49966,8,5,8,5,0.000000,13)
(6611,34654,9,6,9,6,0.066667,15)
(26884,53610,8,6,8,6,0.071429,14)
(35666,39939,10,6,10,6,0.062500,16)
(19454,56175,8,6,8,6,0.000000,14)
(536,22577,8,6,8,6,0.000000,14)
(37445,43125,9,5,9,5,0.000000,14)
(1886,9950,9,6,9,6,0.066667,15)
(10939,56334,9,6,9,6,0.000000,15)
(32922,39124,9,5,9,5,0.000000,14)
(56167,58153,8,7,8,7,0.000000,15)
(21240,22407,8,5,8,5,0.000000,13)
(6806,56793,12,8,12,8,0.100000,20)
(39814,43087,9,6,9,6,0.066667,15)
(11229,15321,9,5,9,5,0.000000,14)
(10597,19071,8,5,8,5,0.000000,13)
(5257,53803,10,5,10,5,0.000000,15)
(9677,40593,8,7,8,7,0.000000,15)
(55781,57527,8,5,8,5,0.000000,13)
(45972,52101,8,6,8,6,0.000000,14)
(21708,22874,9,5,9,5,0.000000,14)
(55233,57397,8,6,8,6,0.071429,14)
(32348,55605,8,7,8,7,0.000000,15)
(38393,43132,9,6,9,6,0.066667,15)
(13840,58029,8,7,8,7,0.066667,15)
(42109,50529,9,6,9,6,0.066667,15)
